Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
uart_hal.c.obj,0,0,0,0,0,1002,0,0,0
esp_crt_bundle.c.obj,0,420,0,0,420,1001,0,0,0
pvmp3_imdct_synth.cpp.ob,0,0,0,0,0,515,480,0,0
sdspi_transaction.c.obj,0,5,0,0,5,986,0,0,0
panic_arch.c.obj,0,0,0,0,0,687,288,0,0
startup.c.obj,0,11,54,0,65,890,29,0,0
intc.o,0,0,654,0,654,318,0,0,0
tcpip.c.obj,0,12,0,0,12,834,133,0,0
transport.c.obj,0,0,0,0,0,898,66,0,0
hal_ampdu.o,0,0,0,0,0,813,149,0,0
qbus_s.cpp.obj,0,42,0,0,42,961,0,0,0
cpu.c.obj,0,0,273,0,273,110,564,0,0
hli_api.c.obj,148,4,494,0,646,285,16,0,0
locks.c.obj,8,168,691,0,867,141,95,0,0
partition.c.obj,0,8,0,0,8,896,37,0,0
partition_target.c.obj,0,0,0,0,0,801,131,0,0
panic.c.obj,12,5,46,0,63,858,16,0,0
cmac.c.obj,0,0,0,0,0,929,0,0,0
event_groups.c.obj,0,0,0,0,0,829,98,0,0
esp_hostap.c.obj,0,4,0,0,4,924,0,0,0
coex_schm.o,0,16,205,0,221,714,0,0,0
NimBLEClient.cpp.obj,4,0,0,0,4,832,48,0,0
pmksa_cache_auth.c.obj,0,0,0,0,0,878,0,0,0
pvmp3_mpeg2_get_scale_da,0,0,0,0,0,587,288,0,0
aes-ccm.c.obj,0,0,0,0,0,874,0,0,0
dragonfly.c.obj,0,0,0,0,0,870,0,0,0
ble_store.c.obj,0,0,0,0,0,860,0,0,0
sdmmc_io.c.obj,0,0,0,0,0,804,53,0,0
sdcard.c.obj,4,4,0,0,8,665,184,0,0
multi_heap.c.obj,0,0,533,0,533,268,49,0,0
spi_flash_chip_winbond.c,140,0,710,0,850,0,0,0,0
bootloader_flash.c.obj,0,0,802,0,802,0,40,0,0
hci.o,0,0,0,0,0,836,0,0,0
esp_nimble_hci.c.obj,0,4,0,0,4,773,60,0,0
libc_a-fseeko.o,0,0,0,0,0,830,0,0,0
NimBLERemoteCharacterist,0,0,0,0,0,828,0,0,0
esp_aes_xts.c.obj,0,0,0,0,0,827,0,0,0
time.c.obj,0,20,126,0,146,699,0,0,0
NimBLEAdvertisedDevice.c,0,0,0,0,0,821,0,0,0
pvmp3_mdct_18.cpp.obj,0,0,0,0,0,709,108,0,0
fastpbkdf2.c.obj,0,0,0,0,0,778,27,0,0
diskio_sdmmc.c.obj,0,10,0,0,10,676,102,0,0
llm_util.o,0,0,0,0,0,771,0,0,0
icmp.c.obj,0,0,0,0,0,729,30,0,0
